id,name,icu,acute
1,Haliburton Kawartha Pine Ridge,13,153
4,Toronto,519,4046
6,Simcoe Muskoka,43,448
7,Wellington-Dufferin-Guelph,26,238
8,Leeds Grenville Lanark,17,202
9,Renfrew,10,148
10,Ottawa,124,1283
11,The Eastern,14,191
12,Sudbury,23,369
13,Lambton,14,144
14,Chatham-Kent,10,101
15,Windsor-Essex,51,407
16,Brant,16,116
17,Haldimand-Norfolk,6,110
18,Hamilton,144,913
19,Niagara al Area,50,401
22,Porcupine,6,229
23,The  Algoma,18,182
24,Timiskaming,9,101
25,North Bay Parry Sound,28,276
26,Northwestern,7,246
27,Thunder Bay,22,321
28,Kingston Frontenac Lennox Addington,65,362
29,Hastings Prince Edward,15,136
30,Oxford,21,123
31,Huron,4,97
32,Middlesex-London,100,772
33,Grey Bruce,18,222
34,Perth,6,102
35,Elgin-St. Thomas,10,73
36,Waterloo,54,398
2,Durham,44,439
3,Peterborough,24,258
5,York,66,689
20,Halton,42,442
21,Peel,84,747
